Google Scholar Cluster,Year,Date,eDate,Authors,Title,Type,Journal/conference/book,ISSN/ISBN,Keywords,Step,Review Group,Citation Count,Internal Citations,Debut,Same study,Conceptual framework,Methodological framework,Data source,Interval,Software,Graph construction,Structure of interest
5741716401679290878,2012,Apr 24,2012/03/19,"Ke, W.|Huang, S. S.|Hudson, L. O.|Elkins, K. R.|Nguyen, C. C.|Spratt, B. G.|Murphy, C. R.|Avery, T. R.|Lipsitch, M.",Patient sharing and population genetic structure of methicillin-resistant staphylococcus aureus,Journal Article,Proceedings of the National Academy of Sciences,,,Citation,Institutional exchange,12,17562390653818184065|14453081923007059267|17959342134111868712,2012-03-19,,Epidemiology,Regression,California Office of Statewide Health Planning and Development,2005Ð2006,Ð,Sequential occurrence of hospitals across patients,"Dyads, communities"
4537066903811917183,2012,Jul 18,,"Landon, B. E.|Keating, N. L.|Barnett, M. L.|Onnela, J.-P.|Paul, S.|O'Malley, A. J.|Keegan, T.|Christakis, N. A.",Variation in patient-sharing networks of physicians across the united states,Journal Article,Journal of the American Medical Association,0098-7484,,Seed,Physician collaboration,52,12641048451323848196|11838286190902064906|15479119673249488530|15729444450210853376|11351703201172433691|14151262832984177483|4125094932718142742|13508888899711955148|8552262842231584077|3001601440051743147|10704495480470258068|11699186662207755316|12669593047361150433|15141833724125448122|17653819535321164289|12112474574544883449|12055918768487749039|2124097880840271620,2012-07-18,,Ð,Regression,Centers for Medicare & Medicaid Services,2006,Ð,Co-occurrence of physicians across patients,"Neighborhoods, paths, triads"
13631684328836103551,2012,Oct,,"Lee, B. Y.|Bartsch, S. M.|Wong, K. F.|Yilmaz, S. L.|Avery, T. R.|Singh, A.|Song, Y.|Kim, D. S.|Brown, S. T.|Potter, M. A.|Platt, R.|Huang, S. S.",Simulation shows hospitals that cooperate on infection control obtain better results than hospitals acting alone,Journal Article,Health Affairs,,,Reference,Institutional exchange,19,5433537624725733394|11659103491509650714,2012-10-31,,Epidemiology,Agent-based modeling,California Office of Statewide Health Planning and Development,2006,Ð,Designated patient transfer between hospitals | Sequential occurrence of hospitals across patients,Diffusion
15274025032195515406,2012,Jan,,"Lomi, A.|Pallotti, F.",Relational collaboration among spatial multipoint competitors,Journal Article,Social Networks,0378-8733,Multipoint competition|Mutual forbearance|Hospitals|Interorganizational networks|Exponential random graph models,Reference,Institutional exchange,33,10152905706519051793|4731741271071474583|7007704270923744745|11838286190902064906|13508888899711955148|2862041699259010282|11204179047977547964|12885358153772323640|9436363093917650391|3853481226495975509|3693774038279178940,2012-01-31,,Collaboration and competition,ERGM,"Lazio, Italy > Regional Hospital Information System",2003,Ð,Ð,Dyads
7007704270923744745,2012,May,,"Mascia, D.|Di Vincenzo, F.|Cicchetti, A.",Dynamic analysis of interhospital collaboration and competition: Empirical evidence from an italian regional health system,Journal Article,Health Policy,0168-8510,Competition|Collaboration|Hospitals|Social network analysis|Organizational theory|Italy,Citation,Institutional exchange,11,2862041699259010282|11204179047977547964|742906124760025150|3853481226495975509|3693774038279178940,2012-05-31,,Collaboration and competition,Regression,Abruzzo Regional Health Agency,2003Ð2007,UCINET,Ð,Dyads
319607914197906293,2012,Oct 22,2012/10/22,"Park, S.|Yang, J.-S.|Kim, J.|Shin, Y.-E.|Hwang, J.|Park, J.|Jang, S. K.|Kim, S.",Evolutionary history of human disease genes reveals phenotypic connections and comorbidity among genetic diseases,Journal Article,Scientific Reports,,,Citation,Clinical co-occurrence,16,13413072286841187229|9975778981456457950,2012-10-22,,Molecular biology of disease,Ð,Medicare,1990Ð1993,Ð,Co-occurrence of diseases across patients,Dyads
1482646279646045885,2012,Feb,2011/10/11,"Pollack, C. E.|Weissman, G. E.|Bekelman, J. E.|Liao, K.|Armstrong, K.",Physician social networks and variation in prostate cancer treatment in three cities,Journal Article,Health Services Research,0017-9124,Physician networks|physician referral|network analysis|prostate cancer,Seed,Physician collaboration,19,4537066903811917183|12641048451323848196|15479119673249488530|15729444450210853376|14151262832984177483|8552262842231584077|2124097880840271620,2011-10-11,,Social capital and social influence,Regression,SEER-Medicare,2004Ð2006,R > igraph,Co-occurrence of physicians across patients,Communities
15521562616602075778,2012,Apr,2011/01/20,"Rebuge, A.|Ferreira, D. R.",Business process analysis in healthcare environments: A methodology based on process mining,Journal Article,Information Systems,0306-4379,Business process analysis|Healthcare processes|Process mining|Sequence clustering,Citation,Workplace interaction,117,10759168924172155743|10839783135985262013,2011-01-20,,Organizational effectiveness,Process mining,Hospital of Sao Sebastiao,Jan 2009ÐJul 2009,C#,Similarity of sequence clusters,Spanning trees
9194558233882348338,2012,Oct,2011/10/27,"Uddin, S.|Hossain, L.|Kelaher, M.",Effect of physician collaboration network on hospitalization cost and readmission rate,Journal Article,European Journal of Public Health,,,Reference,Physician collaboration,12,9078789530982105621|5477252860303490902|4125094932718142742|10839150707153588809|3001601440051743147|10704495480470258068|12669593047361150433,2011-10-27,,Collaborative practice,Ð,Hospital Contribution Fund,Jan 2005ÐFeb 2009,UCINET,Co-occurrence of physicians across patients,"Neighborhoods, paths, graph"
4731741271071474583,2012,Nov,2012/07/27,"Veinot, T. C.|Bosk, E. A.|Unnikrishnan, K. P.|Iwashyna, T. J.","Revenue, relationships and routines: The social organization of acute myocardial infarction patient transfers in the united states",Journal Article,Social Science & Medicine,0277-9536,Interhospital patient transfers|Quality information|AMI|United States,Citation,Institutional exchange,12,11838286190902064906|11204179047977547964|12885358153772323640|9436363093917650391|3853481226495975509,2012-07-27,,Organizational effectiveness,Mixed methods,Medicare Provider Analysis and Review,1996Ð2006,Ð,Sequential occurrence of hospitals across patients,Neighborhoods
254521855620065806,2012,Feb 7,2012/02/07,"Walker, A. S.|Eyre, D. W.|Wyllie, D. H.|Dingle, K. E.|Harding, R. M.|O'Connor, L.|Griffiths, D.|Vaughan, A.|Finney, J. M.|Wilcox, M. H.|Crook, D. W.|Peto, T. E. A.",Characterisation of clostridium difficile hospital ward-based transmission using extensive epidemiological data and molecular typing,Journal Article,PLoS Medicine,,,Reference,Institutional exchange,98,2755478082970559510|16276297231141117463,2012-02-07,,Epidemiology,Ð,Oxford Radcliffe Hospitals microbiology laboratory,Sep 2007-Mar 2010,"NetworkX, Python > Graphviz, MySQL",Proximate co-occurrence of patients across wards,Neighborhoods
5376773155503413590,2013,Sep 26,,"Blair, D. R.|Lyttle, C. S.|Mortensen, J. M.|Bearden, C. F.|Jensen, A. B.|Khiabanian, H.|Melamed, R.|Rabadan, R.|Bernstam, E. V.|Brunak, S.|Jensen, L. J.|Nicolae, D.|Shah, N. H.|Grossman, R. L.|Cox, N. J.|White, K. P.|Rzhetsky, A.",A nondegenerate code of deleterious variants in mendelian loci contributes to complex disease risk,Journal Article,Cell,0092-8674,,Reference,Clinical co-occurrence,60,18019012530933088348|304338748587054938|11744806829323175461|15397681090571566352|405484615237516781,2013-09-26,,Molecular biology of disease,Probabilistic modeling,MarketScan,Ð,Ð,Co-occurrence of diseases across patients,"Dyads, communities"
17525824778436963126,2013,Dec 30,2014/01/05,"Curtis, D. E.|Hlady, C. S.|Kanade, G.|Pemmaraju, S. V.|Polgreen, P. M.|Segre, A. M.",Healthcare worker contact networks and the prevention of hospital-acquired infections,Journal Article,PLoS One,1932-6203,,PubMed,Workplace interaction,6,,2013-12-30,,Epidemiology,Agent-based modeling,University of Iowa Hospitals and Clinics,21 months,Ð,Proximate co-occurrence of healthcare workers across login sessions,"Neighborhoods, paths, communities, triads"
7278547811754330346,2013,May 1,2013/03/08,"Cusumano-Towner, M.|Li, D. Y.|Tuo, S.|Krishnan, G.|Maslove, D. M.",A social network of hospital acquired infection built from electronic medical record data,Journal Article,Journal of the American Medical Informatics Association,1067-5027,,PubMed,Workplace interaction,4,,2013-03-08,,Epidemiology,Stochastic modeling,Stanford University Medical Center,70 days,"SQL, Python",Sequential occurrence of patients across healthcare workers; co-occurrence of patients across rooms,Diffusion
10107310476031659138,2013,Mar-Apr,2012/09/29,"Hanauer, D. A.|Ramakrishnan, N.",Modeling temporal relationships in large scale clinical associations,Journal Article,Journal of the American Medical Informatics Association,1067-5027,,PubMed,Clinical co-occurrence,16,14421633296636055657,2012-09-29,,Ð,Hypothesis generation,University of Michigan Health System,Ð,"R, Cytoscape",Sequential occurrence of diseases across patients,Dyads
12641048451323848196,2013,Aug,2014/08/01,"Landon, B. E.|Onnela, J.-P.|Keating, N. L.|Barnett, M. L.|Paul, S.|O'Malley, A. J.|Keegan, T.|Christakis, N. A.",Using administrative data to identify naturally occurring networks of physicians,Journal Article,Medical Care,0025-7079 (Print)|1537-1948 (Electronic),Medicare|Accountable Care Organizations|social networks,Seed,Physician collaboration,20,15479119673249488530|15729444450210853376|14151262832984177483|13508888899711955148|12669593047361150433|15141833724125448122|12112474574544883449|11328982779482658636|12055918768487749039|2124097880840271620|4503635296488022601,2013-08-31,,Collaborative practice,Ð,Medicare Carrier,2006,"Python, NetworkX, R > igraph",Co-occurrence of physicians across patients,"Neighborhoods, communities"
14421633296636055657,2013,Dec,2013/08/21,"Lyalina, S.|Percha, B.|LePendu, P.|Iyer, S. V.|Altman, R. B.|Shah, N. H.",Identifying phenotypic signatures of neuropsychiatric disorders from electronic medical records,Journal Article,Journal of the American Medical Informatics Association,1067-5027,,PubMed,Clinical co-occurrence,15,,2013-08-21,,Clinical ontology,Complexity reduction,"STRIDE, Palo Alto Medical Foundation",Ð,"G*Power, Cytoscape",Co-occurrence of clinical concepts across patients,"Neighborhoods, triads, graph, communities"
4026134441475336276,2013,Jul-Sep,,"Mascia, D.|Di Vincenzo, F.",Dynamics of hospital competition: Social network analysis in the italian national health service,Journal Article,Health Care Management Review,0361-6274,hospital organizations|interorganizational relations|niche overlap|SIENA|strategy,Reference,Institutional exchange,4,2862041699259010282|3693774038279178940,2013-09-30,,Collaboration and competition,Agent-based modeling,Abruzzo Regional Health Agency,2003Ð2007,SIENA,Ð,"Dyads, triads, neighborhoods"
10231166777839338631,2013,Dec,2013/11/07,"Nikfarjam, A.|Emadzadeh, E.|Gonzalez, G.",Towards generating a patient's timeline: Extracting temporal relationships from clinical notes,Journal Article,Journal of Biomedical Informatics,1532-0464,Temporal relation extraction|Clinical text mining|Automatic patient timeline|Natural Language Processing|Machine learning|Temporal graph,PubMed,Workplace interaction,7,,2013-11-07,,Decision support,Natural language processing,"Partners Healthcare, Beth Israel Deaconess Medical Center",Ð,Ð,Inferred temporality between events or timexes across clinical narratives,Dyads
2532550215998274877,2013,Apr,2011/10/14,"Pallotti, F.|Lomi, A.|Mascia, D.",From network ties to network structures: Exponential random graph models of interorganizational relations,Journal Article,Quality & Quantity,1573-7845,Interorganizational networks|Interorganizational relations|Exponential|Random Graph Models|Hospital organizations,Citation,Institutional exchange,9,5477252860303490902,2011-10-14,,Collaboration and competition,ERGM,"Lazio, Italy > Regional Hospital Information System",2004,Ð,Ð,"Neighborhoods, triads"
2433030717678364542,2013,Mar,2012/06/15,"Pollack, C. E.|Weissman, G. E.|Lemke, K. W.|Hussey, P. S.|Weiner, J. P.",Patient sharing among physicians and costs of care: A network analytic approach to care coordination using claims data,Journal Article,Journal of General Internal Medicine,0884-8734,care coordination|performance measure|provider social networks|care density,PubMed,Workplace interaction,15,15479119673249488530|793633649644841267|8552262842231584077|10704495480470258068|11699186662207755316|17653819535321164289|2124097880840271620,2012-06-15,,Care coordination,Regression,IMS Health Plan Claims Database,2009,R > igraph,Co-occurrence of providers across patients,Neighborhoods
5477252860303490902,2013,Sep 10,2013/03/08,"Uddin, S.|Hamra, J.|Hossain, L.",Mapping and modeling of physician collaboration network,Journal Article,Statistics in Medicine,0277-6715,physician collaboration network|exponential random graph|hospitalization cost|readmission rate,PubMed,Physician collaboration,6,4125094932718142742|3001601440051743147|12669593047361150433|11328982779482658636|13862997009944514441,2013-03-08,,Collaborative practice,ERGM,Hospital Contribution Fund,Jan 2005ÐFeb 2009,"Organization Risk Analyzer, Pnet",Co-occurrence of physicians across patients,"Dyads, neighborhoods, triads"
9078789530982105621,2013,Jun 26,2013/06/26,"Uddin, S.|Hossain, L.|Hamra, J.|Alam, A.",A study of physician collaborations through social network and exponential random graph,Journal Article,BMC Health Services Research,1472-6963,Physician collaboration network|Exponential random graph|Social network analysis|Hospitalisation cost and readmission rate,Reference,Physician collaboration,11,11351703201172433691|4125094932718142742|3001601440051743147|12669593047361150433|11328982779482658636,2013-06-26,5477252860303490902,Collaborative practice,ERGM,Hospital Contribution Fund,Jan 2005ÐFeb 2009,"Organization Risk Analyzer, Pnet",Co-occurrence of physicians across patients,"Dyads, neighborhoods, triads"
6828545711075462513,2013,Dec 1,,"Zhang, He.|Mehotra, S.|Liebovitz, D.|Gunter, C. A.|Malin, B.",Mining deviations from patient care pathways via electronic medical record system audits,Journal Article,ACM Transactions on Management Information Systems,2158-656X,Anomaly detection|audit|data mining|graph-based analysis|electronic medical record systems|temporal systems,Citation,Workplace interaction,7,1477209901690465573,2013-12-01,,Inappropriate access,Anomaly detection,Northwestern Memorial Hospital,3 months in 2010,R,Sequential occurrence of users across patient record access logs,Paths
11659103491509650714,2014,Sep 1,2014/05/21,"Bartsch, S. M.|Huang, S. S.|Wong, K. F.|Avery, T. R.|Lee, B. Y.",The spread and control of norovirus outbreaks among hospitals in a region: A simulation model,Journal Article,Open Forum Infectious Diseases,,hospitals|intervention|norovirus|outbreak,Citation,Institutional exchange,0,,2014-05-21,,Epidemiology,Agent-based modeling,California Office of Statewide Health Planning and Development,2006,Ð,Designated patient transfer between hospitals | Sequential occurrence of hospitals across patients,Diffusion
7084361583529973999,2014,Jul,2014/05/23,"Chen, Yo.|Lorenzi, N.|Nyemba, S.|Schildcrout, J. S.|Malin, B.",We work with them? Healthcare workers interpretation of organizational relations mined from electronic health records,Journal Article,International Journal of Medical Informatics,1386-5056,Electronic health records|Organizational modeling|Data mining|Survey,Seed,Workplace interaction,3,1477209901690465573|5884760505723322221,2014-05-23,,Care coordination,Mixed methods,Vanderbilt University Medical Center,several months in 2010,R > lme4,Co-occurrence of healthcare organization areas across patient records,Dyads
304338748587054938,2014,Oct 13,,"Chen, Ya.|Xu, R.",Mining cancer-specific disease comorbidities from a large observational health database,Journal Article,Cancer Informatics,,data mining|cancer informatics|systems biology|network analysis|cancer comorbidity|colorectal cancer,Citation,Clinical co-occurrence,4,405484615237516781,2014-10-13,,Molecular biology of disease,Rule mining,FDA Adverse Event Reporting System,Ð,Java > Weka,Co-occurrence of diseases across associtaion patterns,"Dyads, paths"
5116663888640807073,2014,Nov,2014/11/14,"Chmiel, A.|Klimek, P.|Thurner, S.",Spreading of diseases through comorbidity networks across life and gender,Journal Article,New Journal of Physics,1367-2630,network medicine|disease dynamics|multilayer statistics|medical claims data,Scopus,Clinical co-occurrence,9,6198767401959411329|4503635296488022601,2014-11-14,,Disease progression,Ð,Main Association of Austrian Social Security Institutions,2006Ð2007,Ð,Co-occurrence of diseases across patients,"Dyads, neighborhods, triads, communities"
14453081923007059267,2014,Feb 11,2014/01/27,"Ciccolini, M.|Donker, T.|Grundmann, H.|Bonten, M. J. M.|Woolhouse, M. E. J.",Efficient surveillance for healthcare-associated infections spreading between hospitals,Journal Article,Proceedings of the National Academy of Sciences,,patient referrals|network,Citation,Institutional exchange,6,2894765692799592605|7408107029410258511,2014-01-27,,Epidemiology,Stochastic modeling,UK National Health Service Hospital Episode Statistics | Dutch National Medical Register,Apr 2006ÐMar 2007 | Jan 2004ÐDec 2004,Ð,Sequential occurrence of hospitals across patients| Designated patient transfer between hospitals,"Neighborhoods, paths, graph, diffusion"
17562390653818184065,2014,Jan,2013/10/01,"Donker, T.|Wallinga, J.|Grundmann, H.",Dispersal of antibiotic-resistant high-risk clones by hospital networks: Changing the patient direction can make all the difference,Journal Article,Journal of Hospital Infection,0195-6701,Antibiotic resistance|Referral patterns|Network,PubMed,Institutional exchange,12,2755478082970559510|17959342134111868712|7408107029410258511,2013-10-01,,Epidemiology,Agent-based modeling,UK National Health Service Hospital Episode Statistics,Apr 2006-Mar 2007,Ð,Ð,"Communities, diffusion"
18019012530933088348,2014,Sep 16,,"Finlayson, S. G.|LePendu, P.|Shah, N. H.",Building the graph of medicine from millions of clinical narratives,Journal Article,Scientific Data,2052-4463 (online),clinical history design|data integration|Patient Observation|Medical Examination|Homo sapiens|multi-cellular organism,Citation,Clinical co-occurrence,7,,2014-09-16,,Ð,Text mining,Stanford University and i2b2,19 years,Python,Co-occurrence of diseases across patients,Dyads
14165987644604991374,2014,Apr,2012/12/12,"Heer, J.|Perer, A.","Orion: A system for modeling, transformation and visualization of multidimensional heterogeneous networks",Journal Article,Information Visualization,,Social network analysis|data management|data transformation|graphs|visualization|end-user programming,Scopus,Clinical co-occurrence,27,,2012-12-12,,Decision support,Software development,an EMR,Ð,"Orion, D3",Co-occurrence of symptoms and diagnoses across patients,Graph
11987064734542149183,2014,Jun 24,2014/06/24,"Jensen, A. B.|Moseley, P. L.|Oprea, T. I.|Ellesoe, S. G.|Eriksson, R.|Schmock, H.|Jensen, P. B.|Jensen, L. J.|Brunak, S.",Temporal disease trajectories condensed from population-wide registry data covering 6.2 million patients,Journal Article,Nature Communications,,,Reference,Clinical co-occurrence,20,18340469069556949129|6198767401959411329|15369475864192034659|645850665961501145,2014-06-24,,Disease progression,Ð,Danish National Patient Registsry,Jan 1996ÐNov 2010,Ð,Sequential occurrence of diseases across patients,"Paths, graphs"
16415277536422037879,2014,,2014/04/15,"Jing, X.|Cimino, J. J.",A complementary graphical method for reducing and analyzing large data sets. Case studies demonstrating thresholds setting and selection,Journal Article,Methods of Information in Medicine,0026-1270 (Print)|0026-1270,Data mining method|data filtering method|threshold setting|threshold selection|data visualization|hierarchical terminology|data analysis|clinical data repository,PubMed,Clinical co-occurrence,0,,2014-04-15,,Clinical ontology,Complexity reduction,National Institutes of Health;  Multiparameter Intelligent Monitoring in Intensive Care II,2011,Graphviz,Associations between patients and diseases across admissions; hierarchy of terms,Graph
7364335901401499652,2014,Jul 1,2014/06/03,"Liu, C.-C.|Tseng, Y.-T.|Li, W.|Wu, C.-Y.|Mayzus, I.|Rzhetsky, A.|Sun, F.|Waterman, M.|Chen, J. J. W.|Chaudhary, P. M.|Loscalzo, J.|Crandall, E.|Zhou, X. J.",Diseaseconnect: A comprehensive web server for mechanism-based disease--disease connections,Journal Article,Nucleic Acids Research,,,Citation,Clinical co-occurrence,18,5768385528986110490,2014-06-03,,Molecular biology of disease,Software development,Medicare Provider Analysis and Review,1990Ð1993,Ð,Co-occurrence of diseases across patients,Dyads
11838286190902064906,2014,May,2014/04/10,"Lomi, A.|Mascia, D.|Vu, D. Q.|Pallotti, F.|Conaldi, G.|Iwashyna, T. J.",Quality of care and interhospital collaboration: A study of patient transfers in italy,Journal Article,Medical Care,0025-7079,interhospital transfer|quality of care|collaboration|network analysis|dynamic networks|readmission,PubMed,Institutional exchange,8,11204179047977547964|12885358153772323640|9436363093917650391|3853481226495975509,2014-04-10,,Collaborative practice,Survival analysis,"Abruzzo, Italy > Agency of Public Health",2005Ð2008,Ð,Sequential occurrence of hospitals across patients,"Neighborhoods, triads"
15479119673249488530,2014,Nov,2014/07/26,"Mandl, K. D.|Olson, K. L.|Mines, D.|Liu, C.-F.|Tian, F.","Provider collaboration: Cohesion, constellations, and shared patients",Journal Article,Journal of General Internal Medicine,0884-8734,accountable care organizations|patient care team|physician‰Ûªs practice patterns,PubMed,Physician collaboration,6,10704495480470258068|4503635296488022601,2014-07-26,,Care coordination,Ð,HealthCore Integrated Research Database,2008Ð2011,Ð,Co-occurrence of physicians across patients,"Cliques, neighborhoods"
7768243109589650196,2014,Apr,2013/06/28,"Menon, A. K.|Jiang, X.|Kim, J.|Vaidya, J.|Ohno-Machado, L.",Detecting inappropriate access to electronic health records using collaborative filtering,Journal Article,Machine Learning,1573-0565,Access violation|Collaborative filtering|Electronic health records|Privacy breach detection,Citation,Workplace interaction,8,6828545711075462513,2013-06-28,,Inappropriate access,Anomaly detection,"two tertiary hospitals in Boston, MA, USA",6 months in 2009,Ð,Similarity of latent user or patient clusters across explicit features,Dyads
2755478082970559510,2014,Dec,2014/10/22,"Ohst, J.|Liljeros, F.|Stenhem, M.|Holme, P.",The network positions of methicillin resistant staphylococcus aureus affected units in a regional healthcare system,Journal Article,EPJ Data Science,2193-1127,network epidemiology|methicillin resistant Staphylococcus aureus|hospital system|healthcare associated infections,Citation,Institutional exchange,1,16276297231141117463,2014-10-22,,Epidemiology,Ð,Swedish public healthcare system,Ð,Ð,Sequential occurrence of units across patients,"Neighborhoods, paths, graph, diffusion"
13413072286841187229,2014,Apr 14,2014/04/14,"Paik, H.|Heo, H.-S.|Ban, H.-J.|Cho, S. B.",Unraveling human protein interaction networks underlying co-occurrences of diseases and pathological conditions,Journal Article,Journal of Translational Medicine,1479-5876,Comorbidity|Protein‰ÛÒprotein interaction|Attack tolerance,Citation,Clinical co-occurrence,5,,2014-04-14,,Molecular biology of disease,Ð,Medicare Provider Analysis and Review,1990Ð1993,Ð,Co-occurrence of diseases across patients,Graph
3907354121185999848,2014,Dec,2013/11/02,"Patel, V. N.|Kaelber, D. C.","Using aggregated, de-identified electronic health record data for multivariate pharmacosurveillance: A case study of azathioprine",Journal Article,Journal of Biomedical Informatics,1532-0464,Clinical research informatics|De-identified data|Systems biology|Postmarketing drug surveillance|Pharmacosurveillance|Azathioprine,PubMed,Clinical co-occurrence,6,,2013-11-02,,Health surveillance,Ð,Explorys,Ð,Ð,Co-occurrence of side effects across patients,Neighborhoods
13508888899711955148,2014,Sep,2014/07/23,"Paul, S.|Keating, N. L.|Landon, B. E.|O'Malley, A. J.",Results from using a new dyadic-dependence model to analyze sociocentric physician networks,Journal Article,Social Science & Medicine,0277-9536,Dyadic independence|Latent variables|Patient sharing|Physician influence|Sociocentric network|Transitivity,PubMed,Physician collaboration,1,,2014-07-23,,Collaborative practice,ERGM,Centers for Medicare & Medicaid Services,2006,R,Designated referrals between physicians,"Dyads, triads"
15729444450210853376,2014,Jul,,"Pollack, C. E.|Wang, H.|Bekelman, J. E.|Weissman, G. E.|Epstein, A. J.|Liao, K.|Dugoff, E. H.|Armstrong, K.",Physician social networks and variation in rates of complications after radical prostatectomy,Journal Article,Value in Health,1098-3015,cancer|claims data|health services|outcomes research,Seed,Physician collaboration,2,8552262842231584077,2014-07-31,,Collaborative practice,Regression,SEER-Medicare,2004Ð2005,R > igraph,Co-occurrence of physicians across patients,"Communities, graph"
18317753853438832501,2014,Sep 9,2014/09/25,"Roitmann, E.|Eriksson, R.|Brunak, S.",Patient stratification and identification of adverse event correlations in the space of 1190 drug related adverse events,Journal Article,Frontiers in Physiology,1664-042x,adverse events|adverse drugs reactions|electronic medical records|patient stratification|data mining|network analysis,PubMed,Clinical co-occurrence,0,,2014-09-09,,Health surveillance,Text mining,a Danish mental health center,1998Ð2010,Ð,Similarity of patients across adverse events; co-occurrence of adverse events across patients,Communities
17034833009335106499,2014,Dec 16,2014/12/16,"Schafer, I.|Kaduszkiewicz, H.|Wagner, H. O.|Schon, G.|Scherer, M.|van den Bussche, H.",Reducing complexity: A visualisation of multimorbidity by combining disease clusters and triads,Journal Article,BMC Public Health,1471-2458 (Electronic)|1471-2458 (Linking),Multimorbidity|Multimorbidity patterns|Disease combinations|Epidemiology|Chronic diseases|Elderly people|Factor analysis|Network analysis|Observed-expected-ratios|Claims data set,Seed,Clinical co-occurrence,11,,2014-12-16,,Comorbidity,Complexity reduction,Gmunder ErsatzKasse,2006,"R, Stata > Netplot, Visone",Co-occurrence of diseases across patients,"Triads, neighborhoods, paths"
7251199940575600205,2014,Mar 5,2014/04/16,"Scott, J.|Botsis, T.|Ball, R.",Simulating adverse event spontaneous reporting systems as preferential attachment networks: Application to the vaccine adverse event reporting system,Journal Article,Applied Clinical Informatics,,Simulation|data mining|vaccines|safety|network analysis,Citation,Clinical co-occurrence,3,275418318717836749,2014-03-05,,Health surveillance,Ð,Vaccine Adverse Event Reporting System,1999,"R, Java",Co-occurrence of vaccines and adverse events across reports,Neighborhoods
2499820564520733120,2014,Apr 1,2014/02/18,"Spear, S. E.",Reducing readmissions to detoxification: An interorganizational network perspective,Journal Article,Drug and Alcohol Dependence,0376-8716,Detoxification|Coordination of care|Network analysis|Multilevel modeling,PubMed,Institutional exchange,3,,2014-02-18,,Care coordination,Regression,California Outcomes Measurement System,1 Jul 2008Ð30 Jun 2009,UCINET,Sequential occurrence of treatment programs across patients,Neighborhoods
1877071569727941897,2014,Dec,,"Tighe, P. J.|Davies, L.|Patel, S. S.|Lucas, S. D.|Gravenstein, N.|Bernard, H. R.",The operating room: It's a small world (and scale free network) after all,Journal Article,Connections,,,Seed,Workplace interaction,0,,2014-12-31,,Organizational effectiveness,Ð,UF Health at the University of Florida,1 day,Organization Risk Analyzer,Co-occurrence of OR staff across case assignments and reporting lines,"Paths, triads, graph, neighborhoods"
10839150707153588809,2014,Jul,,"Uddin, S.|Hossain, L.",Social networks in exploring healthcare coordination,Journal Article,Asia Pacific Journal of Health Management,1833-3818,coordination performance|patient-centric care network|hospital length of stay|healthcare management|hospitalisation cost,Reference,Workplace interaction,2,11328982779482658636|13862997009944514441,2014-07-31,,Care coordination,Ð,Hospital Contribution Fund,Jan 2005ÐFeb 2009,Ð,Associations between patient and doctors across visits,Neighborhoods
275418318717836749,2015,Nov,2014/08/07,"Botsis, T.|Scott, J.|Woo, E. J.|Ball, R.",Identifying similar cases in document networks using cross-reference structures,Journal Article,IEEE Journal of Biomedical and Health Informatics,2168-2194,Classification|clustering|document networks|postmarketing product surveillance|similarity,Citation,Clinical co-occurrence,0,,2014-08-07,,Clinical ontology,Ð,Vaccine Adverse Event Reporting System,Ð,Ð,Co-occurrence of preferred terms across reports,Communities
15141833724125448122,2015,Dec,,"Butala, N. M.|King, M. D.|Reitsma, W.|Formica, R. N.|Abt, P. L.|Reese, P. P.|Parikh, C. R.",Association between organ procurement organization social network centrality and kidney discard and transplant outcomes,Journal Article,Transplantation,0041-1337,,Citation,Institutional exchange,0,,2015-12-31,,Organizational effectiveness,Regression,Scientific Registry of Transplant Recipients,2000Ð2010,Gephi,Designated kidney transplants between organ procurement organizations,"Graph, neighborhoods"
2124097880840271620,2015,Jun,2015/04/24,"Casalino, L. P.|Pesko, M. F.|Ryan, A. M.|Nyweide, D. J.|Iwashyna, T. J.|Sun, X.|Mendelsohn, J.|Moody, J.",Physician networks and ambulatory care-sensitive admissions,Journal Article,Medical Care,0025-7079,physician networks|referrals|ambulatory care-sensitive admissions,PubMed,Physician collaboration,0,,2015-04-24,,Care coordination,Regression,Medicare Part B and Outpatient files,2008,Pajek,Co-occurrence of physicians across patients,"Communities, paths"
1477209901690465573,2015,Jun,2015/04/01,"Chen, Yo.|Ghosh, J.|Bejan, C. A.|Gunter, C. A.|Gupta, S.|Kho, A.|Liebovitz, D.|Sun, J.|Denny, J. C.|Malin, B.",Building bridges across electronic health record systems through inferred phenotypic topics,Journal Article,Journal of Biomedical Informatics,1532-0464,Clinical phenotype modeling|Computers and information processing|Data mining|Electronic medical records|Medical information systems|Pattern recognition,Citation,Clinical co-occurrence,4,,2015-04-01,,Clinical ontology,Feature extraction,Vanderbilt University Medical Center | Northwestern Memorial Hospital,Ð,Ð,Similarity of phenotypic topics along clinical terms,Dyads
